"","MF.Fraction","MassBankMatch","MassBankppm","MassBankCosine1","ID","Names","spectrum_KRHform_filtered","MH_mass.x","MH_mass.y","MS2","scan1","scan2","mass1","mass2","Cosine1"
"142417","L-Pyroglutamic acid_X_HILICNeg","5-OXO-L-PROLINE ID:CCMSLIB00000578183",4.28386764427994,0.883223464270566,"CCMSLIB00000578183","5-OXO-L-PROLINE","128.03415, 100; 129.03752, 2.9; 82.02836, 1.6; 70.95747, 1.5; 84.04406, 0.7",128.035316484,128.034768,"128.03429, 100; 129.04133, 19.5; 86.02365, 11.4; 129.03276, 10.4; 85.03962, 9.4; 126.99718, 7.9; 58.02862, 5.9; 128.01187, 4.4; 127.89628, 4; 129.09109, 3.4; 82.02858, 3.1; 87.05527, 2.9; 95.9831, 2.5; 127.05025, 2.1; 57.03331, 2.1; 128.99275, 2; 126.98602, 1.6; 79.95618, 1.6; 102.02127, 1.2; 129.05415, 1.1; 128.97388, 1.1; 64.01803, 0.6; 81.95196, 0.6","128.03415, 100; 129.03752, 2.9; 82.02836, 1.6; 70.95747, 1.5; 84.04406, 0.7","128.03429, 100; 129.04133, 19.5; 86.02365, 11.4; 129.03276, 10.4; 85.03962, 9.4; 126.99718, 7.9; 58.02862, 5.9; 128.01187, 4.4; 127.89628, 4; 129.09109, 3.4; 82.02858, 3.1; 87.05527, 2.9; 95.9831, 2.5; 127.05025, 2.1; 57.03331, 2.1; 128.99275, 2; 126.98602, 1.6; 79.95618, 1.6; 102.02127, 1.2; 129.05415, 1.1; 128.97388, 1.1; 64.01803, 0.6; 81.95196, 0.6",128.035316484,128.034768,0.883223464270566
"142418","L-Pyroglutamic acid_X_HILICNeg","L-Pyroglutamic acid; pGlu; pyroGlu; Pyroglutamate; Pidolic acid; L-Glutimic acid; L-5-Oxoproline; (S)-(?)-2-Pyrrolidone-5-carboxylic acid; (S)-5-Oxo-2-pyrrolidinecarboxylic acid; L-a-Aminoglutaric Acid Lactam; L-5-Oxo-2-pyrrolidinecarboxylic acid ID:PR100586",4.28386764427994,0.777125336819835,"PR100586","L-Pyroglutamic acid; pGlu; pyroGlu; Pyroglutamate; Pidolic acid; L-Glutimic acid; L-5-Oxoproline; (S)-(?)-2-Pyrrolidone-5-carboxylic acid; (S)-5-Oxo-2-pyrrolidinecarboxylic acid; L-a-Aminoglutaric Acid Lactam; L-5-Oxo-2-pyrrolidinecarboxylic acid","128.0348, 100",128.035316484,128.034768,"128.03429, 100; 129.04133, 19.5; 86.02365, 11.4; 129.03276, 10.4; 85.03962, 9.4; 126.99718, 7.9; 58.02862, 5.9; 128.01187, 4.4; 127.89628, 4; 129.09109, 3.4; 82.02858, 3.1; 87.05527, 2.9; 95.9831, 2.5; 127.05025, 2.1; 57.03331, 2.1; 128.99275, 2; 126.98602, 1.6; 79.95618, 1.6; 102.02127, 1.2; 129.05415, 1.1; 128.97388, 1.1; 64.01803, 0.6; 81.95196, 0.6","128.0348, 100","128.03429, 100; 129.04133, 19.5; 86.02365, 11.4; 129.03276, 10.4; 85.03962, 9.4; 126.99718, 7.9; 58.02862, 5.9; 128.01187, 4.4; 127.89628, 4; 129.09109, 3.4; 82.02858, 3.1; 87.05527, 2.9; 95.9831, 2.5; 127.05025, 2.1; 57.03331, 2.1; 128.99275, 2; 126.98602, 1.6; 79.95618, 1.6; 102.02127, 1.2; 129.05415, 1.1; 128.97388, 1.1; 64.01803, 0.6; 81.95196, 0.6",128.035316484,128.034768,0.777125336819835
"214409","Cytosine_X_HILICPos","Creatinine; 1-Methylglycocyamidine ID:KO000422",4.89280394041036,0.506658210517728,"KO000422","Creatinine; 1-Methylglycocyamidine","112.1, 100; 67.9, 6.5; 40.9, 3; 110.1, 1.2; 79.1, 0.6",112.051635244,112.051087,"95.06087, 100; 112.08727, 7.4; 111.09204, 7.1; 70.06583, 4.5; 113.10764, 4.4; 96.08127, 3.6; 96.0612, 3.5; 113.07129, 3.3; 112.05088, 2.5; 112.07826, 1.9; 111.0557, 1.9; 112.0951, 1.5; 112.06102, 1; 111.07088, 1; 112.11237, 0.8; 68.05017, 0.7; 59.06118, 0.6; 83.06093, 0.6","112.1, 100; 67.9, 6.5; 40.9, 3; 110.1, 1.2; 79.1, 0.6","95.06087, 100; 112.08727, 7.4; 111.09204, 7.1; 70.06583, 4.5; 113.10764, 4.4; 96.08127, 3.6; 96.0612, 3.5; 113.07129, 3.3; 112.05088, 2.5; 112.07826, 1.9; 111.0557, 1.9; 112.0951, 1.5; 112.06102, 1; 111.07088, 1; 112.11237, 0.8; 68.05017, 0.7; 59.06118, 0.6; 83.06093, 0.6",112.051635244,112.051087,0.506658210517728
"236633","I167.0204R10.56_HILICNeg_X_HILICNeg","URATE ID:CCMSLIB00000578100",4.20061358050722,1.3189338051605,"CCMSLIB00000578100","URATE","167.0202, 100; 83.01234, 60.4; 124.01397, 37.8; 123.04394, 13.8; 96.01898, 5.5; 167.03345, 5.5; 166.01227, 3.5; 142.02512, 2.9; 168.02385, 2.8; 167.06985, 2.6; 151.00566, 2.2; 123.00639, 2.2; 97.00305, 1.7; 153.00592, 1.7; 84.01574, 1.6; 166.05016, 1.5; 167.87712, 1.4; 69.00783, 0.9; 123.08025, 0.9; 167.10664, 0.9; 150.00886, 0.8; 123.02988, 0.6; 68.99419, 0.6; 81.0332, 0.6; 122.96384, 0.5; 66.99246, 0.5",167.021063388,167.0203618,"167.0204, 100; 124.01421, 63.5; 80.96403, 51.2; 167.01251, 33.6; 166.05367, 32.1; 166.83263, 24.9; 132.8669, 18.9; 79.9562, 18.1; 167.03484, 11.6; 140.02451, 10.6; 82.03986, 8.9; 96.01935, 7.3; 124.05054, 7; 167.05742, 5.7; 167.83582, 4.8; 141.01987, 4; 65.01331, 3.9; 168.03094, 3.6; 130.04005, 3.6; 97.0396, 3.3; 142.02507, 2.7; 81.04468, 2.6; 69.00832, 2.4; 166.06116, 2.2; 168.02032, 1.9; 90.00868, 1.6; 83.02393, 1.5; 89.01325, 1.5; 125.03474, 1.5; 97.00328, 1.5; 109.03954, 1.4; 168.05621, 1.2; 125.0459, 1.2; 58.02859, 1.2; 67.02898, 1.1; 98.03495, 1.1; 123.05539, 1.1; 168.04927, 1.1; 125.01761, 1.1; 96.05571, 1.1; 95.02402, 1; 83.04314, 1; 82.02874, 0.9; 166.04106, 0.9; 85.03949, 0.9; 131.03532, 0.9; 98.02378, 0.9; 66.00849, 0.8; 140.04544, 0.7; 165.78871, 0.7; 51.34023, 0.7; 103.48238, 0.7; 127.23262, 0.7; 121.10336, 0.7; 76.67471, 0.7; 60.94928, 0.6; 71.86556, 0.6; 110.55998, 0.6; 118.14156, 0.6; 92.71497, 0.6; 72.87327, 0.6; 59.236, 0.6; 86.9158, 0.6","167.0202, 100; 83.01234, 60.4; 124.01397, 37.8; 123.04394, 13.8; 96.01898, 5.5; 167.03345, 5.5; 166.01227, 3.5; 142.02512, 2.9; 168.02385, 2.8; 167.06985, 2.6; 151.00566, 2.2; 123.00639, 2.2; 97.00305, 1.7; 153.00592, 1.7; 84.01574, 1.6; 166.05016, 1.5; 167.87712, 1.4; 69.00783, 0.9; 123.08025, 0.9; 167.10664, 0.9; 150.00886, 0.8; 123.02988, 0.6; 68.99419, 0.6; 81.0332, 0.6; 122.96384, 0.5; 66.99246, 0.5","167.0204, 100; 124.01421, 63.5; 80.96403, 51.2; 167.01251, 33.6; 166.05367, 32.1; 166.83263, 24.9; 132.8669, 18.9; 79.9562, 18.1; 167.03484, 11.6; 140.02451, 10.6; 82.03986, 8.9; 96.01935, 7.3; 124.05054, 7; 167.05742, 5.7; 167.83582, 4.8; 141.01987, 4; 65.01331, 3.9; 168.03094, 3.6; 130.04005, 3.6; 97.0396, 3.3; 142.02507, 2.7; 81.04468, 2.6; 69.00832, 2.4; 166.06116, 2.2; 168.02032, 1.9; 90.00868, 1.6; 83.02393, 1.5; 89.01325, 1.5; 125.03474, 1.5; 97.00328, 1.5; 109.03954, 1.4; 168.05621, 1.2; 125.0459, 1.2; 58.02859, 1.2; 67.02898, 1.1; 98.03495, 1.1; 123.05539, 1.1; 168.04927, 1.1; 125.01761, 1.1; 96.05571, 1.1; 95.02402, 1; 83.04314, 1; 82.02874, 0.9; 166.04106, 0.9; 85.03949, 0.9; 131.03532, 0.9; 98.02378, 0.9; 66.00849, 0.8; 140.04544, 0.7; 165.78871, 0.7; 51.34023, 0.7; 103.48238, 0.7; 127.23262, 0.7; 121.10336, 0.7; 76.67471, 0.7; 60.94928, 0.6; 71.86556, 0.6; 110.55998, 0.6; 118.14156, 0.6; 92.71497, 0.6; 72.87327, 0.6; 59.236, 0.6; 86.9158, 0.6",167.021063388,167.0203618,1.3189338051605
"238825","Inosine_X_HILICNeg","Inosine; INO; (?)-Inosine; beta-Inosine; Hypoxanthine 9-beta-D-ribofuranoside; 9-beta-D-ribofuranosylhypoxanthine; Hypoxanthine ribonucleoside; Oxiamin; Ribonosine; Trophicardyl ID:PR100571",2.04769523888575,0.689392059847574,"PR100571","Inosine; INO; (?)-Inosine; beta-Inosine; Hypoxanthine 9-beta-D-ribofuranoside; 9-beta-D-ribofuranosylhypoxanthine; Hypoxanthine ribonucleoside; Oxiamin; Ribonosine; Trophicardyl","135.031, 100; 267.073, 38.7; 108.0207, 16; 92.0259, 11.3",267.073492884,267.072946,"135.03029, 100; 150.04128, 14.4; 106.03996, 10.1; 166.05366, 10; 267.07413, 8.3; 65.01334, 7.2; 157.05127, 4.5; 82.03997, 4.5; 171.06717, 4; 130.04025, 3.4; 66.0086, 3; 132.05582, 2.4; 120.05562, 2.3; 151.04143, 2.3; 147.06674, 2.1; 121.05107, 2; 197.08311, 1.9; 107.03521, 1.9; 156.05611, 1.7; 136.0337, 1.6; 198.07791, 1.5; 240.08897, 1.5; 133.05099, 1.4; 81.04461, 1.4; 105.0448, 1.4; 144.04325, 1.4; 220.19688, 1.3; 176.05737, 1.3; 92.02427, 1.2; 145.0513, 1.1; 219.8692, 1.1; 159.06667, 1.1; 213.07795, 1.1; 220.5038, 1; 118.04011, 1; 266.08939, 0.9; 219.85603, 0.7; 65.99738, 0.7; 142.03999, 0.7; 225.08999, 0.7; 91.02903, 0.7; 116.0243, 0.7; 122.0349, 0.7; 185.08287, 0.6; 220.51625, 0.6; 131.03557, 0.6; 143.03564, 0.6","135.031, 100; 267.073, 38.7; 108.0207, 16; 92.0259, 11.3","135.03029, 100; 150.04128, 14.4; 106.03996, 10.1; 166.05366, 10; 267.07413, 8.3; 65.01334, 7.2; 157.05127, 4.5; 82.03997, 4.5; 171.06717, 4; 130.04025, 3.4; 66.0086, 3; 132.05582, 2.4; 120.05562, 2.3; 151.04143, 2.3; 147.06674, 2.1; 121.05107, 2; 197.08311, 1.9; 107.03521, 1.9; 156.05611, 1.7; 136.0337, 1.6; 198.07791, 1.5; 240.08897, 1.5; 133.05099, 1.4; 81.04461, 1.4; 105.0448, 1.4; 144.04325, 1.4; 220.19688, 1.3; 176.05737, 1.3; 92.02427, 1.2; 145.0513, 1.1; 219.8692, 1.1; 159.06667, 1.1; 213.07795, 1.1; 220.5038, 1; 118.04011, 1; 266.08939, 0.9; 219.85603, 0.7; 65.99738, 0.7; 142.03999, 0.7; 225.08999, 0.7; 91.02903, 0.7; 116.0243, 0.7; 122.0349, 0.7; 185.08287, 0.6; 220.51625, 0.6; 131.03557, 0.6; 143.03564, 0.6",267.073492884,267.072946,0.689392059847574
"238826","Inosine_X_HILICNeg","INOSINE ID:CCMSLIB00000578104",2.04769523888575,0.640761618797215,"CCMSLIB00000578104","INOSINE","135.03006, 100; 267.07385, 91.9; 268.07684, 5.1; 136.03422, 2.2; 177.04129, 0.5",267.073492884,267.072946,"135.03029, 100; 150.04128, 14.4; 106.03996, 10.1; 166.05366, 10; 267.07413, 8.3; 65.01334, 7.2; 157.05127, 4.5; 82.03997, 4.5; 171.06717, 4; 130.04025, 3.4; 66.0086, 3; 132.05582, 2.4; 120.05562, 2.3; 151.04143, 2.3; 147.06674, 2.1; 121.05107, 2; 197.08311, 1.9; 107.03521, 1.9; 156.05611, 1.7; 136.0337, 1.6; 198.07791, 1.5; 240.08897, 1.5; 133.05099, 1.4; 81.04461, 1.4; 105.0448, 1.4; 144.04325, 1.4; 220.19688, 1.3; 176.05737, 1.3; 92.02427, 1.2; 145.0513, 1.1; 219.8692, 1.1; 159.06667, 1.1; 213.07795, 1.1; 220.5038, 1; 118.04011, 1; 266.08939, 0.9; 219.85603, 0.7; 65.99738, 0.7; 142.03999, 0.7; 225.08999, 0.7; 91.02903, 0.7; 116.0243, 0.7; 122.0349, 0.7; 185.08287, 0.6; 220.51625, 0.6; 131.03557, 0.6; 143.03564, 0.6","135.03006, 100; 267.07385, 91.9; 268.07684, 5.1; 136.03422, 2.2; 177.04129, 0.5","135.03029, 100; 150.04128, 14.4; 106.03996, 10.1; 166.05366, 10; 267.07413, 8.3; 65.01334, 7.2; 157.05127, 4.5; 82.03997, 4.5; 171.06717, 4; 130.04025, 3.4; 66.0086, 3; 132.05582, 2.4; 120.05562, 2.3; 151.04143, 2.3; 147.06674, 2.1; 121.05107, 2; 197.08311, 1.9; 107.03521, 1.9; 156.05611, 1.7; 136.0337, 1.6; 198.07791, 1.5; 240.08897, 1.5; 133.05099, 1.4; 81.04461, 1.4; 105.0448, 1.4; 144.04325, 1.4; 220.19688, 1.3; 176.05737, 1.3; 92.02427, 1.2; 145.0513, 1.1; 219.8692, 1.1; 159.06667, 1.1; 213.07795, 1.1; 220.5038, 1; 118.04011, 1; 266.08939, 0.9; 219.85603, 0.7; 65.99738, 0.7; 142.03999, 0.7; 225.08999, 0.7; 91.02903, 0.7; 116.0243, 0.7; 122.0349, 0.7; 185.08287, 0.6; 220.51625, 0.6; 131.03557, 0.6; 143.03564, 0.6",267.073492884,267.072946,0.640761618797215
"238827","I267.0726R11.17_HILICNeg_X_HILICNeg","INOSINE ID:CCMSLIB00000578104",3.48064207143563,0.591770501867778,"CCMSLIB00000578104","INOSINE","135.03006, 100; 267.07385, 91.9; 268.07684, 5.1; 136.03422, 2.2; 177.04129, 0.5",267.073492884,267.0725633,"87.00763, 100; 101.02334, 66.9; 267.07239, 46.9; 59.01266, 45.3; 71.01268, 38.7; 106.03993, 36.2; 65.01336, 24.8; 89.02328, 23.6; 237.06181, 22.8; 166.05331, 20.8; 75.00769, 19.7; 105.01821, 16.7; 85.02824, 16.7; 66.00861, 16.2; 132.05573, 15.8; 82.03983, 15.2; 130.04016, 14.9; 157.05136, 14; 171.0668, 13.9; 113.0233, 13.8; 198.07771, 12.8; 73.02834, 11.6; 119.0341, 11.5; 156.056, 11.3; 120.0556, 6; 131.03499, 5.9; 61.98724, 5.9; 129.01842, 5.6; 105.04465, 5.6; 223.89104, 5.4; 107.03526, 5.3; 213.07832, 5.2; 144.05537, 5.1; 81.04465, 5; 240.08826, 5; 92.02432, 4.6; 121.05091, 4.6; 145.05051, 4.6; 83.02383, 4.6; 133.05109, 4.5; 142.04041, 4.5; 87.00475, 4.4; 169.05116, 4.4; 83.01272, 4.4; 219.0509, 4.3; 197.08218, 4.3; 148.05081, 4.2; 121.03965, 4.2; 159.06712, 4.2; 65.99729, 4.1; 223.87837, 4; 181.05141, 4; 225.07748, 3.9; 118.04009, 3.8; 224.09419, 3.8; 147.0553, 3.8; 183.06709, 3.8; 91.02905, 3.7; 196.06245, 3.5; 158.04716, 3.3; 134.03479, 3.2; 119.06056, 3; 72.40837, 3; 242.88736, 2.9; 101.73653, 2.9; 139.20265, 2.9; 92.92683, 2.9; 61.76694, 2.8; 96.97018, 2.8; 219.55209, 2.7; 224.73079, 2.7; 268.71353, 2.7; 199.0728, 2.7; 72.62506, 2.7; 130.50117, 2.6; 60.53605, 2.6; 73.73257, 2.6; 98.91158, 2.6; 184.33243, 2.5; 123.42855, 2.5; 60.37306, 2.5; 66.97381, 2.5; 78.34675, 2.5; 209.02884, 2.4; 88.15565, 2.4; 220.96109, 2.4; 53.91296, 2.4; 71.03653, 2.2","135.03006, 100; 267.07385, 91.9; 268.07684, 5.1; 136.03422, 2.2; 177.04129, 0.5","87.00763, 100; 101.02334, 66.9; 267.07239, 46.9; 59.01266, 45.3; 71.01268, 38.7; 106.03993, 36.2; 65.01336, 24.8; 89.02328, 23.6; 237.06181, 22.8; 166.05331, 20.8; 75.00769, 19.7; 105.01821, 16.7; 85.02824, 16.7; 66.00861, 16.2; 132.05573, 15.8; 82.03983, 15.2; 130.04016, 14.9; 157.05136, 14; 171.0668, 13.9; 113.0233, 13.8; 198.07771, 12.8; 73.02834, 11.6; 119.0341, 11.5; 156.056, 11.3; 120.0556, 6; 131.03499, 5.9; 61.98724, 5.9; 129.01842, 5.6; 105.04465, 5.6; 223.89104, 5.4; 107.03526, 5.3; 213.07832, 5.2; 144.05537, 5.1; 81.04465, 5; 240.08826, 5; 92.02432, 4.6; 121.05091, 4.6; 145.05051, 4.6; 83.02383, 4.6; 133.05109, 4.5; 142.04041, 4.5; 87.00475, 4.4; 169.05116, 4.4; 83.01272, 4.4; 219.0509, 4.3; 197.08218, 4.3; 148.05081, 4.2; 121.03965, 4.2; 159.06712, 4.2; 65.99729, 4.1; 223.87837, 4; 181.05141, 4; 225.07748, 3.9; 118.04009, 3.8; 224.09419, 3.8; 147.0553, 3.8; 183.06709, 3.8; 91.02905, 3.7; 196.06245, 3.5; 158.04716, 3.3; 134.03479, 3.2; 119.06056, 3; 72.40837, 3; 242.88736, 2.9; 101.73653, 2.9; 139.20265, 2.9; 92.92683, 2.9; 61.76694, 2.8; 96.97018, 2.8; 219.55209, 2.7; 224.73079, 2.7; 268.71353, 2.7; 199.0728, 2.7; 72.62506, 2.7; 130.50117, 2.6; 60.53605, 2.6; 73.73257, 2.6; 98.91158, 2.6; 184.33243, 2.5; 123.42855, 2.5; 60.37306, 2.5; 66.97381, 2.5; 78.34675, 2.5; 209.02884, 2.4; 88.15565, 2.4; 220.96109, 2.4; 53.91296, 2.4; 71.03653, 2.2",267.073492884,267.0725633,0.591770501867778
